"tm52083,West Beirut,MOVIE,In April  1975  civil war breaks out,,,,,,,,,,,"
"tm8687,Sam Kinison: Family Entertainment Hour,MOVIE,Get ready to scream with laughter! Sam Kinison's primal scream will echo down through the comedy hall of fame summing up so much of modernity's horror and stupidity. This concert was taped at the Wiltern Theatre where Sam was joined with the Randy Hansen Band and a salacious slew of sinuous sirens  including his wife Malika. Join Sam Kinison and guests for a concert guaranteed to make you laugh 'til you cry for more - there's something for every member of the family - Sam Kinison style!,1991,,49,['comedy'],['US'],,,,,2.545,6.0"
"tm314602,Dushmani,MOVIE,In order to settle personal scores,,,,,,,,,,,"
"tm210754,Have You Ever Seen Fireflies? - Theatre Play,MOVIE,Yılmaz Erdoğan's lauded stage play traces the life of wunderkind Gülseren as she navigates social and political change.,1999,,118,['drama'  'comedy'],['TR'],,,,,1.844,7.5"
"tm255589,One Last Shot,MOVIE,In this low-budget short film  two best buddies meet up for a night of booze-fueled fun before one of them moves to Vancouver.,1998,,30,[],[],,,,,1.439,5.3"
"ts11,Downton Abbey,SHOW,A chronicle of the lives of the aristocratic Crawley family and their servants in the post-Edwardian era—with great events in history having an effect on their lives and on the British social hierarchy.,,,,,,,,,,,"
"tm997728,Blade Runner: The Final Cut,MOVIE,Visually spectacular  intensely action-packed and powerfully prophetic since its debut  Blade Runner returns in Ridley Scott's definitive Final Cut  including extended scenes and never-before-seen special effects. In a signature role as 21st-century detective Rick Deckard  Harrison Ford brings his masculine-yet-vulnerable presence to this stylish noir thriller. In a future of high-tech possibility soured by urban and social decay  Deckard hunts for fugitive  murderous replicants - and is drawn to a mystery woman whose secrets may undermine his soul. This incredible version features the definitive Final Cut of Ridley Scott's legendary Sci-Fi classic.,2007,R,117,['action'  'thriller'  'scifi'],['US'],,,,,0.055091,9.0"
"tm195620,Apocalypse Now Redux,MOVIE,Apocalypse Now Redux is a 2001 extended version of Francis Ford Coppola's epic war film Apocalypse Now  which was originally released in 1979. Coppola  along with editor/long-time collaborator Walter Murch  added 49 minutes of scenes that had been cut out of the original film. It represents a significant re-edit of the original version.,2001,R,196,['drama'  'war'  'thriller'  'horror'],['US'],,,,,4.147.341,9.8"
"tm76428,Jackass 2.5,MOVIE,The crew have now set off to finish what as left over from Jackass 2.0  and in this version they have Wee Man use a 'pee' gun on themselves  having a mini motor bike fracas in the grocery mall  a sperm test  a portly crew member disguised as King Kong  as well as include three episodes of their hilarious adventures in India.,2007,,64,['documentation'  'comedy'],['US'],,,,,20.424,6.1"
"ts30356,Octonauts,SHOW,The Octonauts is a British children's television series  produced by Silvergate Media for the BBC channel Cbeebies. The series is animated in Ireland by Brown Bag Films but uses British voice actors. The TV series is based on American-Canadian children's books written by Vicki Wong and Michael C. Murphy of Meomi Design Inc.,,,,,,,,,,,"
